Project_ID,Project_Title,Project_Description,Category_re-coded,Category_Topic_Committee_Raw,Project_Status,Agency_Code,Process_ID,District-Ward_Name,Win_Text,Votes,PB_Cycle,Cost_Num,fiscal_year,cost_appropriated,Vote_Year,Latitude,Longitude,Name_Dept_Agency_CBO,Project_Status_Category,Project_Status_Detail,Story?
18NYC_123,SAV Technology for School Auditoriums,Improve theatrical experience for our students with an upgrade on audio and visual technology for school auditoriums.,Schools,Education,In process: Part of Capital Plan - Funding Approved,,PBNYC-2018,NYCC District 38,Yes ,6337,7,120000,2019,"$150,000.00",2018,40.6459698,-74.0018264,,In process,Voted in 2018 PBNYC,
18NYC_124,SAV Technology for School Auditoriums,Improve theatrical experience for our students with an upgrade on audio and visual technology for school auditoriums.,Schools,Education,In process: Part of Capital Plan - Funding Approved,,PBNYC-2018,NYCC District 38,Yes ,6337,7,120000,2019,"$150,000.00",2018,40.6331135,-74.0036168,,In process,Voted in 2018 PBNYC,
18NYC_125,SAV Technology for School Auditoriums,Improve theatrical experience for our students with an upgrade on audio and visual technology for school auditoriums.,Schools,Education,In process: Part of Capital Plan - Funding Approved,,PBNYC-2018,NYCC District 38,Yes ,6337,7,120000,2019,"$150,000.00",2018,40.6519928,-74.0072938,,In process,Voted in 2018 PBNYC,
18NYC_126,SAV Technology for School Auditoriums,Improve theatrical experience for our students with an upgrade on audio and visual technology for school auditoriums.,Schools,Education,In process: Part of Capital Plan - Funding Approved,,PBNYC-2018,NYCC District 38,Yes ,6337,7,120000,2019,"$150,000.00",2018,40.6519928,-74.0072938,,In process,Voted in 2018 PBNYC,
18NYC_127,SAV Technology for School Auditoriums,Improve theatrical experience for our students with an upgrade on audio and visual technology for school auditoriums.,Schools,Education,In process: Part of Capital Plan - Funding Approved,,PBNYC-2018,NYCC District 38,Yes ,6337,7,120000,2019,"$150,000.00",2018,40.6519928,-74.0072938,,In process,Voted in 2018 PBNYC,
18NYC_128,Better Technology for Classrooms & Libraries,"Tech equipment for South Brooklyn High School, P.S. 105, M.S. 821, P.S. 503 and P.S. 371K.",Schools,Education,In process: Part of Capital Plan - Funding Approved,,PBNYC-2018,NYCC District 38,Yes ,6047,7,187500,2019,"$150,000.00",2018,40.6331135,-74.0036168,,In process,Voted in 2018 PBNYC,
18NYC_129,Better Technology for Classrooms & Libraries,"Tech equipment for South Brooklyn High School, P.S. 105, M.S. 821, P.S. 503 and P.S. 371K.",Schools,Education,In process: Part of Capital Plan - Funding Approved,,PBNYC-2018,NYCC District 38,Yes ,6047,7,187500,2019,"$150,000.00",2018,40.6519928,-74.0072938,,In process,Voted in 2018 PBNYC,
18NYC_130,Better Technology for Classrooms & Libraries,"Tech equipment for South Brooklyn High School, P.S. 105, M.S. 821, P.S. 503 and P.S. 371K.",Schools,Education,In process: Part of Capital Plan - Funding Approved,,PBNYC-2018,NYCC District 38,Yes ,6047,7,187500,2019,"$150,000.00",2018,40.6419176,-74.0190873,,In process,Voted in 2018 PBNYC,
18NYC_131,Better Technology for Classrooms & Libraries,"Tech equipment for South Brooklyn High School, P.S. 105, M.S. 821, P.S. 503 and P.S. 371K.",Schools,Education,In process: Part of Capital Plan - Funding Approved,,PBNYC-2018,NYCC District 38,Yes ,6047,7,187500,2019,"$150,000.00",2018,40.6541651,-74.0053613,,In process,Voted in 2018 PBNYC,
18NYC_132,Rainbow Playground Upgrade,"Renovation of Rainbow Playground, updating the children’s play area and redesigning the seating area.",Parks,Parks & Recreation,In process: Part of Capital Plan - Funding Approved,,PBNYC-2018,NYCC District 38,Yes ,5796,7,500000,2019,"$500,000.00",2018,40.640976,-74.011029,,In process,Voted in 2018 PBNYC,
